ID_Producto,Nombre_Producto,Marca,Categoría,Ingrediente_Principal,Precio_USD,País_de_Origen,Año_Lanzamiento,Canal_de_Venta
PCOSM00113,Producto Estée Lauder 921,NARS,Maquillaje,Aceite de argán,63.73,Japón,2013,Distribuidor
PCOSM00114,Producto Estée Lauder 693,MAC,Fragancias,Colágeno,107.78,Alemania,2014,Catálogo
PCOSM00115,Producto Neutrogena 55,Revlon,Protección solar,Aloe vera,100.27,Japón,2017,E-commerce
PCOSM00116,Producto MAC 982,Revlon,Protección solar,Aloe vera,83.25,Corea del Sur,2013,Distribuidor
PCOSM00117,Producto L'Oréal 578,MAC,Fragancias,Aloe vera,35.98,Francia,2023,E-commerce
PCOSM00118,Producto Neutrogena 40,Revlon,Protección solar,Vitamina C,44.43,Corea del Sur,2011,Distribuidor
PCOSM00119,Producto MAC 727,Estée Lauder,Protección solar,Niacinamida,55.47,Corea del Sur,2008,Catálogo
PCOSM00120,Producto NARS 944,MAC,Cuidado capilar,Niacinamida,95.29,Brasil,2015,Distribuidor
PCOSM00121,Producto NARS 537,MAC,Fragancias,Vitamina C,22.68,Japón,2023,Distribuidor
PCOSM00122,Producto Clinique 281,L'Oréal,Fragancias,Colágeno,103.56,Brasil,2020,Marketplace
PCOSM00123,Producto Maybelline 331,NARS,Cuidado capilar,Aloe vera,96.53,Corea del Sur,2010,E-commerce
PCOSM00124,Producto Maybelline 217,Maybelline,Cuidado de la piel,Vitamina C,105.04,Corea del Sur,2005,Catálogo
PCOSM00125,Producto Estée Lauder 726,Dior,Fragancias,Retinol,54.62,Francia,2016,Distribuidor
PCOSM00126,Producto Estée Lauder 391,MAC,Cuidado capilar,Aloe vera,37.67,Corea del Sur,2015,Distribuidor
PCOSM00127,Producto Revlon 643,Clinique,Maquillaje,Extracto de té verde,29.06,Japón,2019,Catálogo
PCOSM00128,Producto Estée Lauder 892,Neutrogena,Cuidado capilar,Retinol,38.68,Brasil,2016,Distribuidor
PCOSM00129,Producto Lancôme 340,Lancôme,Maquillaje,Aloe vera,113.49,Francia,2012,Catálogo
PCOSM00130,Producto Dior 446,Lancôme,Cuidado capilar,Aceite de argán,89.61,Estados Unidos,2023,E-commerce
PCOSM00131,Producto L'Oréal 963,NARS,Cuidado capilar,Extracto de té verde,91.11,Japón,2021,E-commerce
PCOSM00132,Producto Maybelline 251,Revlon,Fragancias,Colágeno,12.29,Alemania,2018,Retail
PCOSM00133,Producto NARS 152,Clinique,Fragancias,Niacinamida,38.06,Estados Unidos,2022,E-commerce
PCOSM00134,Producto L'Oréal 770,Revlon,Protección solar,Extracto de té verde,35.4,Colombia,2022,E-commerce
PCOSM00135,Producto Clinique 881,L'Oréal,Cuidado capilar,Ácido hialurónico,103.62,Brasil,2011,Catálogo
PCOSM00136,Producto Lancôme 457,Neutrogena,Protección solar,Vitamina C,82.05,Estados Unidos,2023,Marketplace
PCOSM00137,Producto Lancôme 910,Estée Lauder,Cuidado capilar,Extracto de té verde,119.44,Estados Unidos,2024,Marketplace
PCOSM00138,Producto Clinique 829,Dior,Maquillaje,Extracto de té verde,62.33,Corea del Sur,2008,E-commerce
PCOSM00139,Producto Dior 848,Revlon,Cuidado de la piel,Aloe vera,24.06,Colombia,2019,Marketplace
PCOSM00140,Producto Estée Lauder 364,Revlon,Maquillaje,Niacinamida,22.8,Canadá,2022,Marketplace
PCOSM00141,Producto Estée Lauder 850,Lancôme,Cuidado capilar,Extracto de té verde,67.87,Estados Unidos,2019,Distribuidor
PCOSM00142,Producto Neutrogena 887,MAC,Cuidado de la piel,Retinol,43.94,Japón,2015,Catálogo
PCOSM00143,Producto Estée Lauder 47,L'Oréal,Maquillaje,Extracto de té verde,67.22,Brasil,2021,Distribuidor
PCOSM00144,Producto Lancôme 791,NARS,Cuidado de la piel,Retinol,41.8,Corea del Sur,2016,Catálogo
PCOSM00145,Producto Lancôme 216,Neutrogena,Cuidado de la piel,Vitamina C,93.89,Estados Unidos,2016,Retail
PCOSM00146,Producto NARS 619,Dior,Protección solar,Retinol,24.94,Estados Unidos,2023,E-commerce
PCOSM00147,Producto Dior 698,Dior,Fragancias,Aloe vera,44.06,Corea del Sur,2008,Marketplace
PCOSM00148,Producto MAC 494,Estée Lauder,Protección solar,Extracto de té verde,5.96,Alemania,2021,Catálogo
PCOSM00149,Producto Maybelline 398,Clinique,Cuidado capilar,Vitamina C,95.32,Alemania,2016,Distribuidor
PCOSM00150,Producto Dior 418,MAC,Cuidado capilar,Niacinamida,20.52,Canadá,2015,E-commerce
PCOSM00151,Producto Maybelline 818,Lancôme,Cuidado capilar,Extracto de té verde,38.93,Colombia,2012,Retail
PCOSM00152,Producto Estée Lauder 437,Lancôme,Cuidado de la piel,Aceite de argán,61.8,Japón,2013,Distribuidor
PCOSM00153,Producto Revlon 816,Estée Lauder,Protección solar,Vitamina C,61.62,Colombia,2020,Catálogo
PCOSM00154,Producto NARS 914,Neutrogena,Maquillaje,Retinol,38.05,Japón,2008,Marketplace
PCOSM00155,Producto Estée Lauder 922,Dior,Cuidado de la piel,Niacinamida,38.9,Colombia,2012,E-commerce
PCOSM00156,Producto Neutrogena 304,Clinique,Maquillaje,Extracto de té verde,18.27,Corea del Sur,2013,Marketplace
PCOSM00157,Producto Dior 552,MAC,Maquillaje,Ácido hialurónico,77.07,Francia,2012,Catálogo
PCOSM00158,Producto Clinique 630,Neutrogena,Cuidado capilar,Extracto de té verde,34.92,Francia,2014,E-commerce
PCOSM00159,Producto Clinique 11,Dior,Fragancias,Extracto de té verde,60.63,Estados Unidos,2006,Distribuidor
PCOSM00160,Producto Lancôme 83,Maybelline,Cuidado de la piel,Colágeno,87.24,Corea del Sur,2009,Marketplace
PCOSM00161,Producto Dior 395,Lancôme,Maquillaje,Niacinamida,54.9,Japón,2011,Distribuidor
PCOSM00162,Producto L'Oréal 472,L'Oréal,Maquillaje,Aloe vera,44.39,Brasil,2009,Retail
PCOSM00163,Producto Revlon 80,Lancôme,Cuidado capilar,Retinol,88.43,Canadá,2022,Distribuidor
PCOSM00164,Producto L'Oréal 875,Estée Lauder,Protección solar,Niacinamida,25.22,Alemania,2012,Retail
PCOSM00165,Producto NARS 771,Maybelline,Maquillaje,Colágeno,58.44,Francia,2024,Catálogo
PCOSM00166,Producto Neutrogena 382,Neutrogena,Protección solar,Aceite de argán,86.35,Canadá,2015,Distribuidor
PCOSM00167,Producto L'Oréal 127,MAC,Cuidado capilar,Extracto de té verde,28.38,Canadá,2012,Marketplace
PCOSM00168,Producto Revlon 684,Dior,Cuidado capilar,Colágeno,63.76,Brasil,2017,Marketplace
PCOSM00169,Producto L'Oréal 27,Estée Lauder,Protección solar,Retinol,30.33,Corea del Sur,2015,Distribuidor
PCOSM00170,Producto Clinique 325,Neutrogena,Fragancias,Aceite de argán,27.9,Canadá,2010,Catálogo
PCOSM00171,Producto L'Oréal 26,Revlon,Protección solar,Aloe vera,90.97,Brasil,2013,Marketplace
PCOSM00172,Producto Lancôme 665,L'Oréal,Protección solar,Retinol,60.28,Canadá,2007,Retail
PCOSM00173,Producto Clinique 703,L'Oréal,Cuidado capilar,Ácido hialurónico,64.83,Corea del Sur,2019,Distribuidor
PCOSM00174,Producto Dior 694,NARS,Cuidado capilar,Ácido hialurónico,90.05,Alemania,2008,Distribuidor
PCOSM00175,Producto Revlon 541,Revlon,Cuidado de la piel,Retinol,92.39,Alemania,2006,Marketplace
PCOSM00176,Producto NARS 160,Dior,Cuidado de la piel,Ácido hialurónico,74.57,Brasil,2018,E-commerce
PCOSM00177,Producto L'Oréal 508,MAC,Maquillaje,Extracto de té verde,42.07,Canadá,2012,Distribuidor
PCOSM00178,Producto Clinique 96,Revlon,Protección solar,Ácido hialurónico,80.57,Japón,2005,Distribuidor
PCOSM00179,Producto Clinique 440,Estée Lauder,Maquillaje,Vitamina C,57.92,Colombia,2022,Marketplace
PCOSM00180,Producto Maybelline 741,MAC,Cuidado capilar,Aceite de argán,19.01,Colombia,2014,Marketplace
PCOSM00181,Producto MAC 553,MAC,Fragancias,Retinol,12.18,Estados Unidos,2022,Catálogo
PCOSM00182,Producto Maybelline 729,Dior,Cuidado de la piel,Vitamina C,91.64,Corea del Sur,2013,Retail
PCOSM00183,Producto Maybelline 482,Maybelline,Protección solar,Aceite de argán,45.09,Canadá,2005,Marketplace
PCOSM00184,Producto Neutrogena 977,NARS,Maquillaje,Aloe vera,115.6,Japón,2017,Catálogo
PCOSM00185,Producto Revlon 686,Estée Lauder,Cuidado capilar,Vitamina C,37.85,Canadá,2007,Retail
PCOSM00186,Producto NARS 200,Neutrogena,Fragancias,Colágeno,103.78,Brasil,2008,Catálogo
PCOSM00187,Producto Lancôme 736,Estée Lauder,Cuidado de la piel,Niacinamida,67.37,Colombia,2024,Catálogo
PCOSM00188,Producto Dior 280,MAC,Cuidado de la piel,Ácido hialurónico,73.85,Colombia,2011,Catálogo
PCOSM00189,Producto NARS 903,Dior,Fragancias,Aloe vera,13.47,Francia,2022,Marketplace
PCOSM00190,Producto Dior 715,Neutrogena,Fragancias,Colágeno,51.27,Alemania,2022,Retail
PCOSM00191,Producto Dior 484,L'Oréal,Maquillaje,Vitamina C,59.09,Estados Unidos,2006,Catálogo
PCOSM00192,Producto MAC 992,Maybelline,Cuidado de la piel,Aceite de argán,23.8,Colombia,2021,Distribuidor
PCOSM00193,Producto Maybelline 924,MAC,Fragancias,Colágeno,77.64,Francia,2009,Distribuidor
PCOSM00194,Producto Revlon 103,L'Oréal,Cuidado capilar,Colágeno,81.68,Canadá,2017,Marketplace
PCOSM00195,Producto Revlon 571,Maybelline,Protección solar,Colágeno,31.96,Brasil,2005,Distribuidor
PCOSM00196,Producto Lancôme 646,Maybelline,Cuidado capilar,Vitamina C,60.94,Corea del Sur,2018,Retail
PCOSM00197,Producto L'Oréal 566,Estée Lauder,Cuidado capilar,Vitamina C,20.3,Alemania,2013,Catálogo
PCOSM00198,Producto Estée Lauder 957,Lancôme,Cuidado de la piel,Vitamina C,93.16,Alemania,2019,Marketplace
PCOSM00199,Producto Lancôme 277,MAC,Fragancias,Aloe vera,99.41,Japón,2018,Catálogo
PCOSM00200,Producto Estée Lauder 567,Lancôme,Cuidado de la piel,Vitamina C,45.19,Alemania,2008,Retail
PCOSM00201,Producto Estée Lauder 791,Neutrogena,Maquillaje,Extracto de té verde,82.71,Francia,2005,Marketplace
PCOSM00202,Producto MAC 916,Clinique,Cuidado de la piel,Niacinamida,70.22,Canadá,2017,Catálogo
PCOSM00203,Producto MAC 945,Estée Lauder,Cuidado capilar,Retinol,112.81,Estados Unidos,2008,Distribuidor
PCOSM00204,Producto Revlon 164,NARS,Protección solar,Vitamina C,52.37,Francia,2018,E-commerce
PCOSM00205,Producto Neutrogena 808,Clinique,Cuidado capilar,Ácido hialurónico,34.79,Colombia,2018,Retail
PCOSM00206,Producto Maybelline 740,Dior,Maquillaje,Niacinamida,57.85,Alemania,2016,Retail
PCOSM00207,Producto Lancôme 967,Maybelline,Cuidado de la piel,Retinol,42.2,Alemania,2022,Catálogo
PCOSM00208,Producto L'Oréal 99,Clinique,Cuidado de la piel,Vitamina C,26.82,Francia,2010,Distribuidor
PCOSM00209,Producto Neutrogena 899,NARS,Cuidado capilar,Extracto de té verde,68.72,Estados Unidos,2009,Marketplace
PCOSM00210,Producto Neutrogena 826,NARS,Fragancias,Colágeno,93.67,Japón,2014,Catálogo
PCOSM00211,Producto Lancôme 52,Neutrogena,Protección solar,Ácido hialurónico,109.86,Estados Unidos,2011,Retail
PCOSM00212,Producto Maybelline 423,Dior,Maquillaje,Vitamina C,47.11,Canadá,2021,Catálogo
PCOSM00213,Producto Neutrogena 75,Clinique,Cuidado capilar,Niacinamida,116.66,Francia,2010,Retail
PCOSM00214,Producto Neutrogena 270,Revlon,Protección solar,Niacinamida,41.34,Canadá,2019,Marketplace
PCOSM00215,Producto Neutrogena 893,Dior,Cuidado de la piel,Niacinamida,38.47,Japón,2017,E-commerce
PCOSM00216,Producto Dior 356,Maybelline,Protección solar,Aceite de argán,119.15,Brasil,2011,E-commerce
PCOSM00217,Producto Estée Lauder 342,L'Oréal,Protección solar,Aceite de argán,43.5,Francia,2005,Marketplace
PCOSM00218,Producto Revlon 701,Estée Lauder,Cuidado capilar,Extracto de té verde,50.04,Estados Unidos,2023,Distribuidor
PCOSM00219,Producto NARS 608,Revlon,Fragancias,Niacinamida,62.36,Estados Unidos,2014,E-commerce
PCOSM00220,Producto Lancôme 694,Neutrogena,Maquillaje,Colágeno,106.93,Corea del Sur,2010,Distribuidor
PCOSM00221,Producto Estée Lauder 57,NARS,Fragancias,Ácido hialurónico,79.94,Alemania,2018,Marketplace
PCOSM00222,Producto MAC 896,Clinique,Cuidado de la piel,Vitamina C,30.32,Francia,2005,Retail
PCOSM00223,Producto MAC 57,L'Oréal,Fragancias,Niacinamida,112.13,Canadá,2008,Retail
PCOSM00224,Producto Lancôme 468,Revlon,Cuidado capilar,Extracto de té verde,87.49,Estados Unidos,2010,Retail
PCOSM00225,Producto MAC 53,Neutrogena,Protección solar,Aloe vera,75.31,Estados Unidos,2008,Distribuidor
PCOSM00226,Producto MAC 810,L'Oréal,Cuidado capilar,Ácido hialurónico,86.79,Japón,2018,Distribuidor
PCOSM00227,Producto Revlon 185,Estée Lauder,Maquillaje,Ácido hialurónico,103.96,Francia,2006,Marketplace
PCOSM00228,Producto Dior 248,Maybelline,Fragancias,Aloe vera,107.59,Corea del Sur,2021,Retail
PCOSM00229,Producto Neutrogena 601,Maybelline,Cuidado capilar,Aceite de argán,104.53,Estados Unidos,2015,Marketplace
PCOSM00230,Producto Estée Lauder 971,MAC,Fragancias,Extracto de té verde,81.96,Japón,2018,E-commerce
PCOSM00231,Producto Lancôme 697,Revlon,Protección solar,Vitamina C,23.88,Canadá,2008,Retail
PCOSM00232,Producto Clinique 578,Maybelline,Fragancias,Vitamina C,58.62,Brasil,2009,Retail
PCOSM00233,Producto L'Oréal 747,Clinique,Protección solar,Extracto de té verde,108.27,Canadá,2013,Retail
PCOSM00234,Producto Lancôme 436,Revlon,Fragancias,Ácido hialurónico,118.92,Francia,2022,Catálogo
PCOSM00235,Producto NARS 967,Maybelline,Maquillaje,Colágeno,6.47,Estados Unidos,2023,Catálogo
PCOSM00236,Producto NARS 243,Estée Lauder,Maquillaje,Extracto de té verde,33.46,Estados Unidos,2005,Catálogo
PCOSM00237,Producto Dior 963,Clinique,Cuidado de la piel,Aloe vera,24.62,Francia,2020,Retail
PCOSM00238,Producto Estée Lauder 207,Maybelline,Fragancias,Ácido hialurónico,65,Estados Unidos,2014,Catálogo
PCOSM00239,Producto Lancôme 624,L'Oréal,Maquillaje,Retinol,114.34,Canadá,2022,Retail
PCOSM00240,Producto Clinique 582,NARS,Fragancias,Aceite de argán,106.04,Brasil,2022,Marketplace
